No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,11,39,4,14,0,71,0.6 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,97,5,91,9,296,2.4 %
03,03 - Capitale-Nationale,4,533,262,32,331,28,1190,9.6 %
04,04 - Mauricie et Centre-du-Québec,5,155,374,22,110,5,671,5.4 %
05,05 - Estrie,3,134,158,19,126,12,452,3.7 %
06,06 - Montréal,208,2762,1114,141,724,73,5022,40.6 %
07,07 - Outaouais,11,83,74,14,54,3,239,1.9 %
08,08 - Abitibi-Témiscamingue,2,0,22,0,3,0,27,0.2 %
09,09 - Côte-Nord,0,0,5,0,1,0,6,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,20,0,13,0,48,0.4 %
12,12 - Chaudière-Appalaches,5,131,153,7,139,5,440,3.6 %
13,13 - Laval,3,515,205,53,191,6,973,7.9 %
14,14 - Lanaudière,3,272,174,15,127,4,595,4.8 %
15,15 - Laurentides,64,185,152,54,88,14,557,4.5 %
16,16 - Montérégie,16,638,546,63,493,9,1765,14.3 %
17,17 - Nunavik,0,0,6,0,0,0,6,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,4,0,0,1,5,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),327,5528,3406,429,2505,169,12364,
9999,Ensemble du Québec (%),2.6 %,44.7 %,27.5 %,3.5 %,20.3 %,1.4 %,.,100.0 %

