No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Dﾃｩcﾃｨs (n),Dﾃｩcﾃｨs (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay窶鏑ac-Saint-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,2,129, 7,1,31,,,170,"3,1%"
4,04 - Mauricie et Centre-du-Quﾃｩbec,5,124, 26,12,43,,,210,"3,9%"
5,05 - Estrie,,1, 6,,15,3,,25,"0,5%"
6,06 - Montrﾃｩal,177,2317, 254,72,459,35,7,3321,"61,4%"
7,07 - Outaouais,4,18, 3,7,1,,,33,"0,6%"
8,08 - Abitibi-Tﾃｩmiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Cﾃｴte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Quﾃｩbec,,,,,,,,0,"0,0%"
11,11 - Gaspﾃｩsie窶禿四es-de-la-Madeleine,,2, 2,,5,,,9,"0,2%"
12,12 - Chaudiﾃｨre-Appalaches,1,,,,7,,,8,"0,1%"
13,13 - Laval,,438, 54,41,121,5,,659,"12,2%"
14,14 - Lanaudiﾃｨre,3,110, 38,5,50,,,206,"3,8%"
15,15 - Laurentides,37,80, 9,14,36,2,,178,"3,3%"
16,16 - Montﾃｩrﾃｩgie,8,238, 89,28,188,6,,557,"10,3%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Quﾃｩbec,238,3478, 492,180,957,56,7,5408,
9999,,"4,4%","64,3%","9,1%","3,3%","17,7%","1,0%","0,1%",,"100,0%"
