RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,170,0,0,1,171,,,,
02 - Saguenay–Lac-Saint-Jean,107,0,2,0,109,,,,
03 - Capitale-Nationale,648,3,11,2,664,,,,
04 - Mauricie et Centre-du-Québec,106,0,1,24,131,,,,
05 - Estrie,93,0,16,1,110,,,,
06 - Montréal,3299,135,226,60,3720,,,,
07 - Outaouais,491,16,35,9,551,,,,
08 - Abitibi-Témiscamingue,0,177,0,0,177,,,,
09 - Côte-Nord,10,0,0,0,10,,,,
10 - Nord-du-Québec,0,1,0,0,1,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,,,,
12 - Chaudière-Appalaches,519,2,12,0,533,,,,
13 - Laval,434,13,19,6,472,,,,
14 - Lanaudière,292,33,13,4,342,,,,
15 - Laurentides,474,22,49,5,550,,,,
16 - Montérégie,344,19,136,23,522,,,,
Inconnu,0,1,0,0,1,,,,
Hors Québec,48,9,3,5,65,,,,
Ensemble du Québec,7043,431,523,140,8137,,,,
