Régions sociosanitaires;2021-07-04;2021-07-05;2021-07-06;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;0;0;0;3 958
02 - Saguenay – Lac-Saint-Jean;0;1;0;11 019
03 - Capitale-Nationale;0;4;3;32 799
04 - Mauricie-et-Centre-du-Québec;3;1;7;15 202
05 - Estrie;1;7;4;14 907
06 - Montréal;17;14;35;132 892
07 - Outaouais;3;12;0;12 547
08 - Abitibi-Témiscamingue;0;0;0;1 146
09 - Côte-Nord;0;0;1;576
10 - Nord-du-Québec;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;0;0;2 065
12 - Chaudière-Appalaches;1;2;2;19 277
13 - Laval;10;7;23;31 699
14 - Lanaudière;3;4;8;24 067
15 - Laurentides;1;0;6;21 004
16 - Montérégie;10;13;13;51 450
17 - Nunavik;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;119
Hors Québec;0;2;1;478
Région à déterminer;0;0;0;4
Total;49;67;103;375 365
