No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,7,4,4,6,0,24,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,56,63,1,50,6,177,2.3 %
3,03 - Capitale-Nationale,3,292,91,6,137,14,543,7.2 %
4,04 - Mauricie et Centre-du-Québec,6,124,88,20,71,5,314,4.1 %
5,05 - Estrie,1,42,19,2,33,5,102,1.3 %
6,06 - Montréal,196,2522,392,106,461,48,3725,49.2 %
7,07 - Outaouais,6,25,24,11,29,0,95,1.3 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,15,0,13,0,42,0.6 %
12,12 - Chaudière-Appalaches,5,50,40,6,47,4,152,2.0 %
13,13 - Laval,2,472,68,43,143,6,734,9.7 %
14,14 - Lanaudière,3,207,66,7,80,2,365,4.8 %
15,15 - Laurentides,59,122,60,30,62,12,345,4.6 %
16,16 - Montérégie,13,443,165,44,267,13,945,12.5 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),298,4376,1101,280,1400,116,7571,
9999,Ensemble du Québec (%),3.9 %,57.8 %,14.5 %,3.7 %,18.5 %,1.5 %,           .,100.0 %
