Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;353;1,3;318,4;0;
5-9 ans;316;1,1;292,7;0;
10-19 ans;1103;3,9;554,6;0;
20-29 ans;3601;12,8;1117,9;< 5;n.p.
30-39 ans;3661;13;1114,3;< 5;n.p.
40-49 ans;3867;13,8;1389,3;15;*5,4
50-59 ans;3482;12,4;1356,6;67;26,1
60-69 ans;2414;8,6;1114,7;219;101,1
70-79 ans;2416;8,6;1669,6;593;409,8
80 ans et +;6871;24,5;6800,2;2533;2506,9
Manquant;83;;;;
Total;28167;;1363,6;3434;166,2
