RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,165,0,0,0,165,1239,629.59,88.2,80
02 - Saguenay–Lac-Saint-Jean,60,0,2,0,62,996,359.08,98.4,96.7
03 - Capitale-Nationale,622,3,8,0,633,7961,"1,047.30",98.4,86.7
04 - Mauricie et Centre-du-Québec,94,0,0,1,95,1341,255.76,80,87.5
05 - Estrie,92,0,15,1,108,2378,478.69,98.8,87.7
06 - Montréal,3219,107,181,16,3523,13967,671.99,90.5,87.5
07 - Outaouais,448,16,33,0,497,3760,929.64,100,91.7
08 - Abitibi-Témiscamingue,0,177,0,0,177,247,167.28,100,100
09 - Côte-Nord,6,0,0,0,6,150,167.85,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,7,0,0,0,7,174,194.09,100,100
12 - Chaudière-Appalaches,439,2,11,0,452,3391,785.12,100,84.5
13 - Laval,412,13,18,1,444,3154,706.27,95.7,91
14 - Lanaudière,271,28,11,0,310,1675,319.27,92.7,86.8
15 - Laurentides,427,14,47,0,488,2494,393.68,88.9,79.7
16 - Montérégie,312,15,116,7,450,4281,296.53,94.5,88.5
Inconnu,0,1,0,0,1,718,,.,.
Hors Québec,47,9,2,2,60,100,,.,.
Ensemble du Québec,6621,386,444,28,7479,48042,559.16,93.5,87.7
