Régions sociosanitaires;2021-06-06;2021-06-07;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;4;3 931
02 - Saguenay – Lac-Saint-Jean;10;5;10 984
03 - Capitale-Nationale;6;6;32 659
04 - Mauricie-et-Centre-du-Québec;10;4;15 134
05 - Estrie;15;1;14 807
06 - Montréal;66;49;131 734
07 - Outaouais;16;17;12 300
08 - Abitibi-Témiscamingue;9;1;1 131
09 - Côte-Nord;0;0;572
10 - Nord-du-Québec;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;3;2;2 026
12 - Chaudière-Appalaches;11;16;19 098
13 - Laval;9;5;31 328
14 - Lanaudière;4;10;23 846
15 - Laurentides;5;10;20 849
16 - Montérégie;26;17;50 983
17 - Nunavik;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;119
Hors Québec;0;3;449
Région à déterminer;0;0;3
Total;193;150;372 109
