Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;n.d.;86;78,3;4705;4283,4;0;;0;
5-9 ans;n.d.;84;78,1;6221;5782,7;0;;0;
10-19 ans;n.d.;249;125,2;14393;7235,8;0;;0;
20-29 ans;n.d.;305;93,7;22190;6815,6;0;;< 5;n.p.
30-39 ans;n.d.;218;66,4;20194;6152,7;0;;7;n.p.
40-49 ans;n.d.;199;71,7;19610;7064,2;0;;22;* 7,9
50-59 ans;n.d.;136;53;16126;6286,9;0;;100;39
60-69 ans;n.d.;63;29,1;9851;4553,6;< 5;n.p.;327;151,2
70-79 ans;n.d.;31;* 21,5;6423;4444,7;< 5;n.p.;830;574,4
80 ans et +;n.d.;22;* 21,9;11928;11857,9;7;n.p.;3462;3441,7
Manquant;n.d.;0;;93;;0;;0;
Total;49;1393;67,4;131734;6377,3;14;* 0,7;4751;230
