Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;464;1,4;422,4;0;
5-9 ans;425;1,3;395,1;0;
10-19 ans;1564;4,9;786,3;0;
20-29 ans;5017;15,6;1540,9;< 5;n.p.
30-39 ans;4377;13,6;1333,6;< 5;n.p.
40-49 ans;4402;13,7;1585,8;15;*5,4
50-59 ans;3877;12;1511,5;69;26,9
60-69 ans;2628;8,2;1214,8;224;103,5
70-79 ans;2516;7,8;1741,1;595;411,7
80 ans et +;6933;21,5;6892,3;2568;2552,9
Manquant;89;;;;
Total;32292;;1563,3;3478;168,4
