,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1580,4,1562,18,30,0,1514,36,196934.5,802.30,18.29,15.23
02,02 - Saguenay-Lac-Saint-Jean,8841,3,8649,192,264,0,8557,20,277505,3185.89,7.21,95.13
03,03 - Capitale-Nationale,22645,30,22309,336,992,1,21320,333,757803,2988.24,43.81,130.90
04,04 - Mauricie et Centre-du-Québec,12878,10,12647,231,508,0,12209,161,523331.5,2460.77,30.71,97.07
05,05 - Estrie,11682,9,11226,456,306,0,11186,190,494966.5,2360.16,38.25,61.82
06,06 - Montréal,108417,329,105552,2865,4542,6,100428,3447,2072060.5,5232.33,165.84,219.20
07,07 - Outaouais,6469,24,6058,411,163,0,6078,228,402744,1606.23,56.37,40.47
08,08 - Abitibi-Témiscamingue,873,3,840,33,7,0,822,44,147637,591.32,29.80,4.74
09,09 - Côte-Nord,355,1,340,15,3,0,351,1,89700.5,395.76,1.12,3.34
10,10 - Nord-du-Québec,87,0,85,2,0,0,87,0,13521.5,643.42,0.00,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1713,1,1694,19,45,0,1661,7,89823,1907.08,7.81,50.10
12,12 - Chaudière-Appalaches,11740,10,11475,265,288,0,11393,59,431109.5,2723.21,13.66,66.80
13,13 - Laval,25255,85,23707,1548,871,0,23628,756,444658.5,5679.64,169.29,195.88
14,14 - Lanaudière,20660,49,19950,710,494,0,19620,546,522367,3955.07,104.07,94.57
15,15 - Laurentides,16727,60,16125,602,473,0,15811,443,630238,2654.08,69.93,75.05
16,16 - Montérégie,42288,89,40516,1772,1484,0,39981,823,1438226,2940.29,57.01,103.18
17,17 - Nunavik,44,0,42,2,0,0,42,2,14336.5,306.91,13.88,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,2,0,116,1,18507,643.00,5.37,10.81
98,Inconnu,4,0,4,0,0,0,4,0,.,.,.,.
99,Hors Québec,254,0,250,4,0,0,251,3,.,.,.,.
999,Ensemble du Québec,292631,707,283150,9481,10472,7,275059,7100,8565469.5,3416.40,82.64,122.26

