Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;12117
02 - Saguenay – Lac-Saint-Jean;14236
03 - Capitale-Nationale;41963
04 - Mauricie-et-Centre-du-Québec;27225
05 - Estrie;21148
06 - Montréal;181 596
07 - Outaouais;13306
08 - Abitibi-Témiscamingue;11980
09 - Côte-Nord;17 469
10 - Nord-du-Québec;8362
11 - Gaspésie – Îles-de-la-Madeleine;9995
12 - Chaudière-Appalaches;23035
13 - Laval;27728
14 - Lanaudière;26149
15 - Laurentides;27011
16 - Montérégie;68038
17 - Nunavik;4764
18 - Terres-Cries-de-la-Baie-James;10336
Inconnu;1678
Total;548 136
