Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;< 5;35;* 31,9;9916;9027,5;0;;0;
5-9 ans;< 5;21;* 19,5;15119;14053,7;0;;0;
10-19 ans;< 5;70;35,2;30831;15499,6;0;;0;
20-29 ans;24;287;88,2;59982;18423,2;0;;5;n.p.
30-39 ans;18;319;97,2;54547;16619,4;0;;12;* 3,7
40-49 ans;26;320;115,3;47165;16990,6;0;;35;* 12,6
50-59 ans;23;297;115,8;36177;14104,1;< 5;n.p.;150;58,5
60-69 ans;16;241;111,4;21119;9762,2;< 5;n.p.;401;185,4
70-79 ans;10;193;133,6;12907;8931,7;< 5;n.p.;970;671,2
80 ans et +;6;228;226,7;20019;19901,4;8;n.p.;3902;3879,1
Manquant;0;< 5;;218;;0;;0;
Total;129;2012;97,4;308000;14910,5;14;* 0,7;5475;265
