,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20630,25,20591,39,174,1,20195,261,197738.33333,10432.98,132.04,88.00,38,846,2
02,02 - Saguenay-Lac-Saint-Jean,30227,22,29866,361,440,1,29451,336,278600,10849.61,120.60,157.93,26,1608,2
03,03 - Capitale-Nationale,88126,58,87765,361,1552,4,85751,823,761103.66667,11578.71,107.36,203.91,50,4242,2
04,04 - Mauricie et Centre-du-Québec,58703,30,58463,240,1006,3,57179,518,527666.66667,11125.02,97.68,190.65,45,3168,5
05,05 - Estrie,49478,38,48954,524,621,1,48235,622,502406,9848.21,122.45,123.61,41,2743,8
06,06 - Montréal,308000,129,304639,3361,5475,2,300558,1967,2061667.3333,14939.36,94.96,265.56,186,16072,12
07,07 - Outaouais,39630,21,39185,445,314,0,39064,252,405378.66667,9776.04,61.50,77.46,15,1834,1
08,08 - Abitibi-Témiscamingue,10879,10,10838,41,110,0,10670,99,147876.33333,7356.82,66.92,74.39,2,629,3
09,09 - Côte-Nord,8531,22,8505,26,46,0,8266,219,90082.333333,9470.23,244.23,51.06,14,490,4
10,10 - Nord-du-Québec,1486,2,1257,229,4,0,1475,7,13383.666667,11103.09,52.62,29.89,2,52,0
11,11 - Gaspésie-Îles-de-la-Madeleine,9013,18,8976,37,82,0,8813,118,90783.333333,9928.03,129.82,90.32,14,430,1
12,12 - Chaudière-Appalaches,61065,33,60782,283,660,0,60021,384,434525.66667,14053.26,87.96,151.89,24,2533,0
13,13 - Laval,71283,27,69323,1960,1110,0,69852,321,445993.33333,15982.97,71.31,248.88,25,3233,3
14,14 - Lanaudière,69556,13,68840,716,772,4,68398,386,530581,13109.40,71.88,145.50,24,2803,2
15,15 - Laurentides,79059,41,78454,605,760,2,77585,714,640046.66667,12352.07,110.06,118.74,48,3721,7
16,16 - Montérégie,148498,83,146585,1913,2224,3,144986,1288,1452381.3333,10224.45,87.81,153.13,83,8045,12
17,17 - Nunavik,3005,1,2999,6,10,0,2986,9,14619,20555.44,60.52,68.40,1,111,0
18,18 - Terres-Cries-de-la-Baie-James,2935,2,2537,398,16,0,2902,17,18660.333333,15728.55,89.61,85.74,2,100,1
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,377,2
99,Hors Québec,2932,9,2924,8,2,0,2910,20,.,.,.,.,10,0,0
999,Ensemble du Québec,1063036,584,1051483,11553,15378,21,1039297,8361,8613493.6667,12341.52,96.36,178.53,650,53037,67

