,,Nombre de cas confirmé,,,Nombre de décès,,,,,,Nombre d'hospitalisations,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Population en 2023,Cas de COVID-19 par 100 000,Décès par COVID-19 par 100 000,Total,Différence dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée
01,01 - Bas-Saint-Laurent,29613,15,142,250,0,1,199471.5,.,.,1924,4,25
02,02 - Saguenay-Lac-Saint-Jean,40454,15,119,587,1,1,280734.5,.,.,2783,9,24
03,03 - Capitale-Nationale,114608,39,290,1884,1,17,765935.75,.,.,7404,6,59
04,04 - Mauricie et Centre-du-Québec,76905,29,202,1256,0,2,535227.5,.,.,5838,3,42
05,05 - Estrie,65564,71,119,818,0,0,510448.25,.,.,4707,7,30
06,06 - Montréal,359867,82,577,5902,1,2,2044355.75,.,.,23060,37,110
07,07 - Outaouais,45480,9,50,419,0,3,407054,.,.,3023,4,13
08,08 - Abitibi-Témiscamingue,14597,13,34,142,0,0,148400.5,.,.,1336,6,10
09,09 - Côte-Nord,13437,6,41,63,0,0,90467.75,.,.,1102,1,13
10,10 - Nord-du-Québec,1943,0,5,8,0,0,13363.5,.,.,103,0,1
11,11 - Gaspésie-Îles-de-la-Madeleine,13435,4,40,99,0,0,92140.75,.,.,919,0,9
12,12 - Chaudière-Appalaches,77050,20,193,802,0,1,439816.25,.,.,4496,9,32
13,13 - Laval,83234,26,94,1298,1,3,446209,.,.,4947,5,30
14,14 - Lanaudière,84776,23,130,938,2,2,538927.25,.,.,4617,12,28
15,15 - Laurentides,100171,50,217,1026,1,8,652170,.,.,6649,5,21
16,16 - Montérégie,188922,89,455,2727,1,5,1464216,.,.,14174,11,112
17,17 - Nunavik,3619,0,1,11,0,0,14677,.,.,176,1,0
18,18 - Terres-Cries-de-la-Baie-James,3087,2,16,20,0,0,18814.75,.,.,169,0,2
98,Inconnu,1253,1,3,0,0,0,.,.,.,570,-1,-1
99,Hors Québec,7337,0,3,2,0,0,.,.,.,0,0,0
999,Ensemble du Québec,1325352,494,2731,18252,8,45,8662430,.,.,87997,119,560

