RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,122,0,0,0,122,1068,542.70,85.7,88.1
02 - Saguenay–Lac-Saint-Jean,21,0,1,0,22,606,218.47,96.1,87.9
03 - Capitale-Nationale,396,2,1,16,415,7443,979.15,97.2,88.5
04 - Mauricie et Centre-du-Québec,40,0,0,1,41,1088,207.51,98.2,93.2
05 - Estrie,86,0,8,0,94,1506,303.16,97.9,93.4
06 - Montréal,2723,71,60,32,2886,10636,511.72,82.5,89
07 - Outaouais,376,8,7,7,398,3218,795.64,93.4,100
08 - Abitibi-Témiscamingue,0,159,0,0,159,238,161.18,14.3,100
09 - Côte-Nord,5,0,0,0,5,141,157.77,100,85.7
10 - Nord-du-Québec,0,0,0,0,0,8,59.33,100,100
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,103,114.89,88.9,70.8
12 - Chaudière-Appalaches,178,0,6,0,184,2768,640.87,92.4,87.8
13 - Laval,316,12,3,7,338,2615,585.57,89.3,92.8
14 - Lanaudière,227,12,2,7,248,1333,254.08,89.8,94.7
15 - Laurentides,300,9,19,9,337,2006,316.65,85.2,91.3
16 - Montérégie,186,8,46,5,245,3231,223.80,81.3,84.4
Inconnu,0,1,0,0,1,713,,85.7,100
Hors Québec,31,6,1,1,39,70,,100,75
Ensemble du Québec,5007,288,154,85,5534,38791,451.49,88.7,89.8
