Régions sociosanitaires;2021-05-09;2021-05-10;2021-05-11;2021-05-12;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;57;55;28;47;3 584
02 - Saguenay – Lac-Saint-Jean;21;19;28;26;10 547
03 - Capitale-Nationale;48;38;60;69;32 056
04 - Mauricie-et-Centre-du-Québec;26;36;47;40;14 699
05 - Estrie;43;58;39;51;13 965
06 - Montréal;189;168;205;202;128 188
07 - Outaouais;21;27;43;28;11 771
08 - Abitibi-Témiscamingue;1;2;0;1;1 106
09 - Côte-Nord;2;6;-1;3;557
10 - Nord-du-Québec;4;0;1;0;100
11 - Gaspésie – Îles-de-la-Madeleine;11;7;3;5;1 924
12 - Chaudière-Appalaches;71;80;94;86;18 105
13 - Laval;61;45;61;63;30 554
14 - Lanaudière;12;15;22;27;23 419
15 - Laurentides;32;29;43;41;20 265
16 - Montérégie;62;73;68;89;49 585
17 - Nunavik;0;0;0;0;46
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;119
Hors Québec;1;2;4;3;383
Région à déterminer;0;0;0;0;9
Total;662;660;745;781;360 982
