,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,3584,47,3560,24,40,0,3108,436,196934.5,1819.89,221.55,20.31
02,02 - Saguenay-Lac-Saint-Jean,10547,26,10332,215,267,0,10089,191,277505,3800.65,68.86,96.21
03,03 - Capitale-Nationale,32056,69,31704,352,1102,1,30379,575,757803,4230.12,75.64,145.42
04,04 - Mauricie et Centre-du-Québec,14699,40,14461,238,514,0,13836,349,523331.5,2808.74,66.56,98.22
05,05 - Estrie,13965,51,13457,508,340,2,13094,531,494966.5,2821.40,106.89,68.69
06,06 - Montréal,128188,202,125267,2921,4698,1,121161,2329,2072060.5,6186.50,112.05,226.73
07,07 - Outaouais,11771,28,11323,448,207,0,11260,304,402744,2922.70,75.16,51.40
08,08 - Abitibi-Témiscamingue,1106,1,1073,33,9,0,1092,5,147637,749.13,3.39,6.10
09,09 - Côte-Nord,557,3,539,18,3,0,529,25,89700.5,620.96,27.97,3.34
10,10 - Nord-du-Québec,100,0,98,2,0,0,94,6,13521.5,739.56,44.49,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1924,5,1903,21,45,0,1809,70,89823,2141.99,78.08,50.10
12,12 - Chaudière-Appalaches,18105,86,17826,279,332,0,16891,882,431109.5,4199.63,204.21,77.01
13,13 - Laval,30554,63,28765,1789,905,0,29117,532,444658.5,6871.34,119.13,203.53
14,14 - Lanaudière,23419,27,22707,712,511,0,22636,272,522367,4483.25,51.84,97.82
15,15 - Laurentides,20265,41,19661,604,499,0,19464,302,630238,3215.45,47.67,79.18
16,16 - Montérégie,49585,89,47639,1946,1542,1,47079,964,1438226,3447.65,66.77,107.22
17,17 - Nunavik,46,0,44,2,0,0,46,0,14336.5,320.86,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,9,0,9,0,0,0,3,6,.,.,.,.
99,Hors Québec,383,3,378,5,0,0,367,16,.,.,.,.
999,Ensemble du Québec,360982,781,350865,10117,11017,5,342170,7795,8565469.5,4214.39,90.73,128.62

