No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,0,2,0,2,0,7,0.1 %
2,02 - Saguenay–Lac-Saint-Jean,0,24,13,0,0,6,43,0.7 %
3,03 - Capitale-Nationale,2,176,67,3,67,3,318,5.1 %
4,04 - Mauricie et Centre-du-Québec,6,124,37,12,44,0,223,3.6 %
5,05 - Estrie,1,11,9,0,18,3,42,0.7 %
6,06 - Montréal,189,2447,329,102,429,34,3530,56.3 %
7,07 - Outaouais,4,18,5,7,9,2,45,0.7 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,2,0,0,0,2,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,11,11,0,5,0,27,0.4 %
12,12 - Chaudière-Appalaches,5,5,22,6,30,3,71,1.1 %
13,13 - Laval,2,470,60,41,131,7,711,11.3 %
14,14 - Lanaudière,3,125,45,6,53,0,232,3.7 %
15,15 - Laurentides,59,103,46,29,60,7,304,4.8 %
16,16 - Montérégie,12,310,124,35,220,11,712,11.4 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),286,3824,775,241,1069,77,6272,
9999,Ensemble du Québec (%),4.6 %,61.0 %,12.4 %,3.8 %,17.0 %,1.2 %,           .,100.0 %
