Régions sociosanitaires;2021-05-02;2021-05-03;2021-05-04;2021-05-05;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;32;49;23;66;3 241
02 - Saguenay – Lac-Saint-Jean;8;19;16;31;10 381
03 - Capitale-Nationale;84;75;89;67;31 649
04 - Mauricie-et-Centre-du-Québec;26;37;46;38;14 403
05 - Estrie;47;48;53;55;13 541
06 - Montréal;206;190;255;212;126 744
07 - Outaouais;15;32;59;37;11 525
08 - Abitibi-Témiscamingue;0;0;1;0;1 099
09 - Côte-Nord;5;5;1;3;537
10 - Nord-du-Québec;0;0;0;0;94
11 - Gaspésie – Îles-de-la-Madeleine;4;5;10;4;1 862
12 - Chaudière-Appalaches;99;121;120;107;17 402
13 - Laval;88;62;57;75;30 137
14 - Lanaudière;35;33;34;38;23 253
15 - Laurentides;32;36;60;51;20 006
16 - Montérégie;116;83;88;120;48 884
17 - Nunavik;0;0;-1;0;46
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;119
Hors Québec;1;2;4;3;371
Région à déterminer;0;0;0;0;3
Total;798;797;915;907;355 297
