RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,72,0,0,0,72,1018,517.29,92.2,92.8
02 - Saguenay–Lac-Saint-Jean,1,0,0,0,1,464,167.28,91.3,79.3
03 - Capitale-Nationale,248,2,1,6,257,7088,932.45,98,91.6
04 - Mauricie et Centre-du-Québec,37,0,0,0,37,863,164.59,87.8,92.7
05 - Estrie,80,0,1,0,81,1162,233.91,97,95.7
06 - Montréal,2222,31,18,12,2283,9381,451.34,80.3,88.1
07 - Outaouais,300,3,3,5,311,2893,715.28,85.6,85.5
08 - Abitibi-Témiscamingue,0,143,0,0,143,232,157.12,0,.
09 - Côte-Nord,0,0,0,0,0,117,130.92,100,75
10 - Nord-du-Québec,0,0,0,0,0,2,14.83,100,0
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,68,75.85,100,91.7
12 - Chaudière-Appalaches,132,0,1,0,133,2282,528.35,92,87.4
13 - Laval,243,7,0,5,255,2305,516.15,77.8,88
14 - Lanaudière,199,5,1,6,211,1172,223.39,80.1,83.2
15 - Laurentides,246,6,6,2,260,1784,281.61,85.9,93.6
16 - Montérégie,148,5,25,0,178,2762,191.31,82.5,84.8
Inconnu,0,1,0,0,1,865,,84.2,87.5
Hors Québec,15,1,0,1,17,57,,66.7,100
Ensemble du Québec,3943,204,56,37,4240,34515,401.72,86.3,88.7
