Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;358;1,3;322,9;0;
5-9 ans;319;1,1;295,5;0;
10-19 ans;1106;3,9;556,1;0;
20-29 ans;3626;12,9;1125,7;< 5;n.p.
30-39 ans;3675;13,1;1118,6;< 5;n.p.
40-49 ans;3871;13,8;1390,7;15;*5,4
50-59 ans;3483;12,4;1357;67;26,1
60-69 ans;2416;8,6;1115,6;219;101,1
70-79 ans;2418;8,6;1671;593;409,8
80 ans et +;6873;24,4;6802,2;2533;2506,9
Manquant;83;;;;
Total;28228;;1366,5;3434;166,2
