No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,9,35,4,13,0,64,0.5 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,87,4,88,8,281,2.4 %
03,03 - Capitale-Nationale,4,530,223,32,327,28,1144,9.7 %
04,04 - Mauricie et Centre-du-Québec,5,154,303,22,110,5,599,5.1 %
05,05 - Estrie,3,134,119,19,123,12,410,3.5 %
06,06 - Montréal,208,2737,1026,137,709,73,4890,41.6 %
07,07 - Outaouais,11,79,64,14,53,3,224,1.9 %
08,08 - Abitibi-Témiscamingue,2,0,16,0,2,0,20,0.2 %
09,09 - Côte-Nord,0,0,4,0,1,0,5,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,20,0,13,0,48,0.4 %
12,12 - Chaudière-Appalaches,5,128,118,7,133,5,396,3.4 %
13,13 - Laval,2,511,192,53,187,6,951,8.1 %
14,14 - Lanaudière,3,250,152,13,124,3,545,4.6 %
15,15 - Laurentides,64,183,137,54,84,14,536,4.6 %
16,16 - Montérégie,15,625,451,62,475,9,1637,13.9 %
17,17 - Nunavik,0,0,4,0,0,0,4,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,4,0,0,1,5,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),325,5449,2956,421,2442,167,11760,
9999,Ensemble du Québec (%),2.8 %,46.3 %,25.1 %,3.6 %,20.8 %,1.4 %,.,100.0 %

