Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;9787
02 - Saguenay – Lac-Saint-Jean;11905
03 - Capitale-Nationale;38886
04 - Mauricie-et-Centre-du-Québec;20834
05 - Estrie;19002
06 - Montréal;96 894
07 - Outaouais;13287
08 - Abitibi-Témiscamingue;9750
09 - Côte-Nord;17 565
10 - Nord-du-Québec;7707
11 - Gaspésie – Îles-de-la-Madeleine;9889
12 - Chaudière-Appalaches;16763
13 - Laval;13636
14 - Lanaudière;18427
15 - Laurentides;18779
16 - Montérégie;47007
17 - Nunavik;4365
18 - Terres-Cries-de-la-Baie-James;10021
Inconnu;2572
Total;387 076
