Régions sociosanitaires;2021-05-30;2021-05-31;2021-06-01;2021-06-02;2021-06-03;2021-06-04;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;6;3;4;1;11;3;3 925
02 - Saguenay – Lac-Saint-Jean;7;5;17;10;21;11;10 960
03 - Capitale-Nationale;16;9;15;14;9;12;32 637
04 - Mauricie-et-Centre-du-Québec;3;9;9;9;8;11;15 115
05 - Estrie;20;28;16;6;14;7;14 774
06 - Montréal;79;35;99;100;89;66;131 562
07 - Outaouais;16;18;8;6;11;11;12 255
08 - Abitibi-Témiscamingue;0;1;0;0;2;1;1 117
09 - Côte-Nord;0;0;1;0;0;0;572
10 - Nord-du-Québec;0;0;0;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;3;2;0;0;1;1;2 021
12 - Chaudière-Appalaches;31;28;28;27;34;38;19 053
13 - Laval;17;11;20;18;20;15;31 301
14 - Lanaudière;9;14;15;10;6;7;23 828
15 - Laurentides;13;11;26;12;12;14;20 826
16 - Montérégie;56;34;27;45;37;29;50 921
17 - Nunavik;0;0;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;119
Hors Québec;0;0;3;9;4;2;444
Région à déterminer;0;0;0;0;0;0;3
Total;276;208;288;267;279;228;371 589
