Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;11369
02 - Saguenay – Lac-Saint-Jean;14227
03 - Capitale-Nationale;41964
04 - Mauricie-et-Centre-du-Québec;24597
05 - Estrie;21166
06 - Montréal;111 595
07 - Outaouais;13292
08 - Abitibi-Témiscamingue;10120
09 - Côte-Nord;17 607
10 - Nord-du-Québec;8093
11 - Gaspésie – Îles-de-la-Madeleine;9890
12 - Chaudière-Appalaches;19720
13 - Laval;16257
14 - Lanaudière;21145
15 - Laurentides;20881
16 - Montérégie;54191
17 - Nunavik;4616
18 - Terres-Cries-de-la-Baie-James;10114
Inconnu;1411
Total;432 255
