Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;4994
02 - Saguenay – Lac-Saint-Jean;8033
03 - Capitale-Nationale;23774
04 - Mauricie-et-Centre-du-Québec;12539
05 - Estrie;11006
06 - Montréal;53841
07 - Outaouais;8458
08 - Abitibi-Témiscamingue;5533
09 - Côte-Nord;6929
10 - Nord-du-Québec;4563
11 - Gaspésie – Îles-de-la-Madeleine;5081
11 - Îles-de-la-Madeleine;1272
12 - Chaudière-Appalaches;10841
13 - Laval;9691
14 - Lanaudière;10343
15 - Laurentides;12254
16 - Montérégie;32527
17 - Nunavik;648
18 - Terres-Cries-de-la-Baie-James;8883
Opitciwan;600
Wemotaci;389
Manawan;787
Total;232 986
