No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,6,4,4,6,0,23,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,52,53,1,41,6,154,2.1 %
3,03 - Capitale-Nationale,3,270,87,4,113,9,486,6.6 %
4,04 - Mauricie et Centre-du-Québec,6,124,65,18,60,5,278,3.8 %
5,05 - Estrie,1,27,17,1,31,5,82,1.1 %
6,06 - Montréal,192,2502,381,105,450,47,3677,50.3 %
7,07 - Outaouais,6,21,17,11,28,4,87,1.2 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,2,0,0,0,2,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,14,0,13,0,41,0.6 %
12,12 - Chaudière-Appalaches,5,49,36,6,47,4,147,2.0 %
13,13 - Laval,2,472,67,43,141,6,731,10.0 %
14,14 - Lanaudière,3,201,63,6,76,2,351,4.8 %
15,15 - Laurentides,59,120,59,30,61,12,341,4.7 %
16,16 - Montérégie,13,421,161,40,260,13,908,12.4 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),294,4279,1029,269,1328,114,7313,
9999,Ensemble du Québec (%),4.0 %,58.5 %,14.1 %,3.7 %,18.2 %,1.6 %,           .,100.0 %
