Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;12117
02 - Saguenay – Lac-Saint-Jean;14227
03 - Capitale-Nationale;41963
04 - Mauricie-et-Centre-du-Québec;26441
05 - Estrie;21166
06 - Montréal;123 600
07 - Outaouais;13305
08 - Abitibi-Témiscamingue;10293
09 - Côte-Nord;17 629
10 - Nord-du-Québec;8123
11 - Gaspésie – Îles-de-la-Madeleine;9890
12 - Chaudière-Appalaches;20638
13 - Laval;18267
14 - Lanaudière;22197
15 - Laurentides;21748
16 - Montérégie;57467
17 - Nunavik;4636
18 - Terres-Cries-de-la-Baie-James;10115
Inconnu;1506
Total;455 328
