No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,7,30,4,11,0,55,0.5 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,81,4,86,8,273,2.4 %
03,03 - Capitale-Nationale,4,530,220,32,324,28,1138,9.9 %
04,04 - Mauricie et Centre-du-Québec,5,154,276,22,110,5,572,5.0 %
05,05 - Estrie,3,130,91,17,120,12,373,3.2 %
06,06 - Montréal,208,2733,989,137,708,72,4847,42.1 %
07,07 - Outaouais,11,79,63,14,53,3,223,1.9 %
08,08 - Abitibi-Témiscamingue,0,0,9,0,2,0,11,0.1 %
09,09 - Côte-Nord,0,0,4,0,1,0,5,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,20,0,13,0,48,0.4 %
12,12 - Chaudière-Appalaches,5,125,109,6,132,5,382,3.3 %
13,13 - Laval,2,510,180,53,187,5,937,8.1 %
14,14 - Lanaudière,3,250,141,12,121,3,530,4.6 %
15,15 - Laurentides,64,181,134,53,84,14,530,4.6 %
16,16 - Montérégie,15,620,417,62,469,9,1592,13.8 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,4,0,0,1,5,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),323,5428,2769,416,2421,165,11522,
9999,Ensemble du Québec (%),2.8 %,47.1 %,24.0 %,3.6 %,21.0 %,1.4 %,.,100.0 %

