Régions sociosanitaires;2021-04-25;2021-04-26;2021-04-27;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;29;48;50;2 886
02 - Saguenay – Lac-Saint-Jean;22;30;20;10 187
03 - Capitale-Nationale;110;111;116;30 898
04 - Mauricie-et-Centre-du-Québec;31;27;31;14 110
05 - Estrie;32;27;57;13 125
06 - Montréal;223;195;294;124 726
07 - Outaouais;50;57;92;11 169
08 - Abitibi-Témiscamingue;2;1;0;1 098
09 - Côte-Nord;6;15;2;509
10 - Nord-du-Québec;0;0;2;92
11 - Gaspésie – Îles-de-la-Madeleine;0;4;2;1 828
12 - Chaudière-Appalaches;82;109;128;16 508
13 - Laval;96;76;67;29 531
14 - Lanaudière;43;42;40;22 942
15 - Laurentides;36;51;55;19 615
16 - Montérégie;124;101;140;47 946
17 - Nunavik;0;0;0;46
18 - Terres-Cries-de-la-Baie-James;0;0;0;119
Hors Québec;3;5;-2;352
Région à déterminer;0;0;0;3
Total;889;899;1 094;347 690
