,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,2886,50,2865,21,37,0,2532,317,196934.5,1465.46,161.08,18.79
02,02 - Saguenay-Lac-Saint-Jean,10187,20,9976,211,266,0,9717,204,277505,3670.92,73.55,95.85
03,03 - Capitale-Nationale,30898,116,30548,350,1075,4,28397,1426,757803,4077.31,187.60,141.86
04,04 - Mauricie et Centre-du-Québec,14110,31,13873,237,509,0,13323,278,523331.5,2696.19,53.02,97.26
05,05 - Estrie,13125,57,12621,504,332,2,12373,420,494966.5,2651.69,84.55,67.08
06,06 - Montréal,124726,294,121813,2913,4679,1,117321,2726,2072060.5,6019.42,131.15,225.81
07,07 - Outaouais,11169,92,10722,447,194,1,10330,645,402744,2773.23,159.47,48.17
08,08 - Abitibi-Témiscamingue,1098,0,1065,33,9,0,1068,21,147637,743.72,14.22,6.10
09,09 - Côte-Nord,509,2,491,18,3,0,423,83,89700.5,567.44,92.87,3.34
10,10 - Nord-du-Québec,92,2,90,2,0,0,90,2,13521.5,680.40,14.83,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1828,2,1809,19,45,0,1764,19,89823,2035.11,21.19,50.10
12,12 - Chaudière-Appalaches,16508,128,16231,277,320,1,15118,1070,431109.5,3829.19,247.74,74.23
13,13 - Laval,29531,67,27785,1746,898,0,28006,627,444658.5,6641.28,140.40,201.95
14,14 - Lanaudière,22942,40,22231,711,509,0,22043,390,522367,4391.93,74.34,97.44
15,15 - Laurentides,19615,55,19010,605,497,0,18648,470,630238,3112.32,74.19,78.86
16,16 - Montérégie,47946,140,46013,1933,1532,1,45180,1234,1438226,3333.69,85.47,106.52
17,17 - Nunavik,46,0,44,2,0,0,46,0,14336.5,320.86,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,3,0,3,0,0,0,3,0,.,.,.,.
99,Hors Québec,352,-2,347,5,0,0,336,16,.,.,.,.
999,Ensemble du Québec,347690,1094,337656,10034,10908,10,326834,9948,8565469.5,4059.21,115.78,127.35

