RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours)
01 - Bas-Saint-Laurent,69,0,0,0,69,915,464.95,100
02 - Saguenay–Lac-Saint-Jean,0,0,1,0,1,298,107.43,65.4
03 - Capitale-Nationale,231,2,0,6,239,6455,849.18,95.1
04 - Mauricie et Centre-du-Québec,11,0,0,0,11,635,121.11,84.7
05 - Estrie,51,0,1,0,52,746,150.17,79.5
06 - Montréal,1954,22,14,11,2001,7978,383.84,75.5
07 - Outaouais,224,2,1,5,232,2673,660.89,91.4
08 - Abitibi-Témiscamingue,0,143,0,0,143,227,153.73,0
09 - Côte-Nord,0,0,0,0,0,65,72.73,93.9
10 - Nord-du-Québec,0,0,0,0,0,0,0.00,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,55,61.35,100
12 - Chaudière-Appalaches,130,0,0,0,130,1639,379.48,90.4
13 - Laval,213,3,0,5,221,1890,423.22,79.6
14 - Lanaudière,146,5,1,6,158,966,184.13,75.8
15 - Laurentides,186,6,3,1,196,1480,233.62,81.8
16 - Montérégie,116,3,4,0,123,2169,150.24,73.7
Inconnu,0,1,0,0,1,914,,79.7
Hors Québec,14,1,0,1,16,51,,77.8
Ensemble du Québec,3345,188,25,35,3593,29156,339.34,82.5
