"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;72533
02 - Saguenay - Lac-Saint-Jean;103065
03 - Capitale-Nationale;270084
04 - Mauricie et Centre-du-Québec;177145
05 - Estrie;164647
06 - Montréal;761330
07 - Outaouais;133323
08 - Abitibi-Témiscamingue;44478
09 - Côte-Nord;42351
10 - Nord-du-Québec;10085
11 - Gaspésie - Îles-de-la-Madeleine;46019
12 - Chaudière-Appalaches;152601
13 - Laval;140999
14 - Lanaudière;167032
15 - Laurentides;199840
16 - Montérégie;452022
17 - Nunavik;8737
18 - Terres-Cries-de-la-Baie-James;17921
Inconnue;2997
Total;2967209
