Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;19;234;213;4346;3956,6;0;;0;
5-9 ans;10;306;284,4;5861;5448;0;;0;
10-19 ans;44;675;339,3;13457;6765,2;0;;0;
20-29 ans;35;696;213,8;20698;6357,3;0;;< 5;n.p.
30-39 ans;53;632;192,6;19080;5813,3;0;;7;n.p.
40-49 ans;51;606;218,3;18479;6656,8;0;;20;* 7,2
50-59 ans;45;537;209,4;15241;5941,9;< 5;n.p.;94;36,6
60-69 ans;20;235;108,6;9474;4379,3;8;n.p.;316;146,1
70-79 ans;< 5;92;63,7;6243;4320,2;10;* 6,9;818;566,1
80 ans et +;12;81;80,5;11752;11683;9;n.p.;3421;3400,9
Manquant;< 5;7;;95;;0;;0;
Total;294;4101;198,5;124726;6038,1;28;* 1,4;4679;226,5
