,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,16718,92,16679,39,118,3,15583,1017,197738.33333,8454.61,514.51,59.67,62,536,6
02,02 - Saguenay-Lac-Saint-Jean,25994,110,25633,361,368,3,24689,937,278600,9330.22,336.33,132.09,56,1232,8
03,03 - Capitale-Nationale,78095,302,77734,361,1447,3,74197,2451,761103.66667,10260.76,319.73,190.12,143,3412,12
04,04 - Mauricie et Centre-du-Québec,51232,151,50992,240,910,2,48802,1520,527666.66667,9709.16,286.64,172.46,107,2521,12
05,05 - Estrie,43612,157,43087,525,549,0,42144,919,502406,8680.63,180.91,109.27,60,2106,15
06,06 - Montréal,287035,365,283672,3363,5341,2,278182,3512,2061667.3333,13922.47,169.54,259.06,180,14404,20
07,07 - Outaouais,36319,51,35874,445,293,2,35555,471,405378.66667,8959.28,114.95,72.28,42,1515,2
08,08 - Abitibi-Témiscamingue,8812,86,8771,41,82,1,8181,549,147876.33333,5959.03,371.09,55.45,47,468,7
09,09 - Côte-Nord,6624,35,6598,26,39,0,6006,579,90082.333333,7353.27,645.72,43.29,42,351,2
10,10 - Nord-du-Québec,1179,1,970,209,4,0,1161,14,13383.666667,8809.25,105.23,29.89,5,35,0
11,11 - Gaspésie-Îles-de-la-Madeleine,7045,67,7009,36,60,0,6144,841,90783.333333,7760.23,925.23,66.09,60,280,6
12,12 - Chaudière-Appalaches,55305,185,55022,283,570,0,53025,1710,434525.66667,12727.67,391.69,131.18,98,1963,12
13,13 - Laval,66988,79,65025,1963,1053,0,65375,560,445993.33333,15019.96,124.41,236.10,40,2819,2
14,14 - Lanaudière,64038,92,63322,716,725,1,62521,792,530581,12069.41,147.48,136.64,53,2347,3
15,15 - Laurentides,71390,104,70783,607,709,0,69651,1030,640046.66667,11153.87,158.77,110.77,66,2964,6
16,16 - Montérégie,133205,243,131295,1910,2051,3,128836,2318,1452381.3333,9171.49,158.03,141.22,111,6409,16
17,17 - Nunavik,2818,5,2814,4,10,0,2757,51,14619,19276.28,342.95,68.40,3,84,0
18,18 - Terres-Cries-de-la-Baie-James,2245,38,1873,372,14,0,2090,141,18660.333333,12030.87,743.24,75.03,4,68,2
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0,345,5
99,Hors Québec,2725,8,2717,8,2,0,2676,47,.,.,.,.,5,0,0
999,Ensemble du Québec,961383,2171,949873,11510,14345,20,927579,19459,8613493.6667,11161.36,224.25,166.54,1184,43859,136

