,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20119,54,20080,39,165,1,19200,754,197738.33333,10174.56,381.46,83.44,55,807,6
02,02 - Saguenay-Lac-Saint-Jean,29644,77,29283,361,426,1,28391,827,278600,10640.34,296.85,152.91,64,1544,9
03,03 - Capitale-Nationale,86885,126,86524,361,1522,0,83377,1986,761103.66667,11415.66,259.07,199.97,151,4109,15
04,04 - Mauricie et Centre-du-Québec,57871,99,57631,240,988,2,55253,1630,527666.66667,10967.34,307.38,187.24,130,3057,11
05,05 - Estrie,48605,76,48081,524,592,1,46555,1458,502406,9674.45,287.02,117.83,112,2601,7
06,06 - Montréal,304845,283,301485,3360,5439,3,295171,4235,2061667.3333,14786.33,204.44,263.82,288,15695,23
07,07 - Outaouais,39184,40,38737,447,310,1,38251,623,405378.66667,9666.02,152.05,76.47,61,1758,4
08,08 - Abitibi-Témiscamingue,10600,20,10559,41,110,0,10274,216,147876.33333,7168.15,146.00,74.39,27,604,3
09,09 - Côte-Nord,8132,24,8106,26,45,2,7737,350,90082.333333,9027.30,390.33,49.95,22,455,1
10,10 - Nord-du-Québec,1420,6,1201,219,4,0,1390,26,13383.666667,10609.95,195.43,29.89,4,50,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8812,17,8774,38,80,1,8467,265,90783.333333,9706.63,291.54,88.12,21,412,4
12,12 - Chaudière-Appalaches,60405,71,60122,283,621,1,58727,1057,434525.66667,13901.37,242.12,142.91,78,2451,4
13,13 - Laval,70651,65,68690,1961,1098,1,68792,761,445993.33333,15841.27,169.07,246.19,44,3154,5
14,14 - Lanaudière,68794,83,68078,716,753,2,67036,1005,530581,12965.79,187.15,141.92,93,2712,6
15,15 - Laurentides,77913,114,77307,606,745,2,75617,1551,640046.66667,12173.02,239.09,116.40,122,3523,19
16,16 - Montérégie,146267,249,144355,1912,2159,0,141140,2968,1452381.3333,10070.84,202.34,148.65,297,7759,31
17,17 - Nunavik,2973,3,2967,6,10,0,2925,38,14619,20336.55,255.53,68.40,0,102,1
18,18 - Terres-Cries-de-la-Baie-James,2884,3,2490,394,15,0,2771,98,18660.333333,15455.24,516.58,80.38,4,93,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,374,1
99,Hors Québec,2874,6,2866,8,2,0,2836,36,.,.,.,.,3,0,0
999,Ensemble du Québec,1048878,1416,1037336,11542,15084,18,1013910,19884,8613493.6667,12177.15,229.15,175.12,1576,51260,150

