,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20016,46,19977,39,163,1,19087,766,197738.33333,10122.47,387.53,82.43,56,795,2
02,02 - Saguenay-Lac-Saint-Jean,29515,42,29154,361,422,1,28267,826,278600,10594.04,296.49,151.47,57,1532,8
03,03 - Capitale-Nationale,86629,108,86268,361,1520,3,83148,1961,761103.66667,11382.02,255.81,199.71,173,4074,16
04,04 - Mauricie et Centre-du-Québec,57668,60,57428,240,985,0,54995,1688,527666.66667,10928.87,318.32,186.67,152,3039,4
05,05 - Estrie,48412,70,47888,524,590,3,46342,1480,502406,9636.03,291.35,117.43,94,2584,15
06,06 - Montréal,304215,232,300855,3360,5432,3,294567,4216,2061667.3333,14755.78,203.53,263.48,396,15627,27
07,07 - Outaouais,39079,36,38632,447,308,4,38136,635,405378.66667,9640.12,154.98,75.98,67,1746,3
08,08 - Abitibi-Témiscamingue,10555,31,10514,41,109,0,10231,215,147876.33333,7137.72,145.33,73.71,28,601,0
09,09 - Côte-Nord,8071,21,8045,26,43,0,7702,326,90082.333333,8959.58,363.56,47.73,34,452,1
10,10 - Nord-du-Québec,1410,8,1192,218,4,0,1384,22,13383.666667,10535.23,165.36,29.89,4,49,1
11,11 - Gaspésie-Îles-de-la-Madeleine,8772,15,8734,38,79,0,8429,264,90783.333333,9662.57,290.44,87.02,16,404,1
12,12 - Chaudière-Appalaches,60249,66,59966,283,617,5,58554,1078,434525.66667,13865.46,246.93,141.99,117,2439,4
13,13 - Laval,70531,42,68570,1961,1097,0,68696,738,445993.33333,15814.36,163.96,245.97,70,3142,7
14,14 - Lanaudière,68635,71,67919,716,751,1,66869,1015,530581,12935.82,189.01,141.54,108,2698,5
15,15 - Laurentides,77646,108,77040,606,740,3,75377,1529,640046.66667,12131.30,235.70,115.62,140,3489,17
16,16 - Montérégie,145717,228,143805,1912,2150,3,140523,3044,1452381.3333,10032.97,207.52,148.03,354,7703,28
17,17 - Nunavik,2968,4,2962,6,10,0,2923,35,14619,20302.35,235.36,68.40,6,101,0
18,18 - Terres-Cries-de-la-Baie-James,2877,1,2483,394,14,0,2761,102,18660.333333,15417.73,537.66,75.03,29,93,3
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,375,3
99,Hors Québec,2867,5,2859,8,2,0,2833,32,.,.,.,.,3,0,0
999,Ensemble du Québec,1045832,1194,1034291,11541,15036,27,1010824,19972,8613493.6667,12141.79,230.17,174.56,1904,50943,145

