,,Nombre de cas confirmé,,,Nombre de décès,,,,,,Nombre d'hospitalisations,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Population en 2022,Cas de COVID-19 par 100 000,Décès par COVID-19 par 100 000,Total,Différence dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée
01,01 - Bas-Saint-Laurent,26480,54,212,213,0,4,197738.33333,.,.,1484,6,34
02,02 - Saguenay-Lac-Saint-Jean,36926,35,201,530,0,2,278600,.,.,2267,9,37
03,03 - Capitale-Nationale,103815,77,496,1737,0,12,761103.66667,.,.,5986,8,68
04,04 - Mauricie et Centre-du-Québec,70147,77,393,1202,0,4,527666.66667,.,.,4825,13,60
05,05 - Estrie,60238,50,317,722,0,2,502406,.,.,3867,11,63
06,06 - Montréal,340775,223,1378,5733,0,20,2061667.3333,.,.,19725,37,203
07,07 - Outaouais,43075,33,205,357,1,3,405378.66667,.,.,2544,14,45
08,08 - Abitibi-Témiscamingue,12998,19,113,132,1,1,147876.33333,.,.,1002,5,12
09,09 - Côte-Nord,11609,23,77,59,0,0,90082.333333,.,.,823,2,10
10,10 - Nord-du-Québec,1730,2,17,6,0,0,13383.666667,.,.,73,0,0
11,11 - Gaspésie-Îles-de-la-Madeleine,11869,8,77,92,0,0,90783.333333,.,.,701,1,4
12,12 - Chaudière-Appalaches,72067,53,270,745,1,6,434525.66667,.,.,3646,10,44
13,13 - Laval,78433,45,280,1186,0,9,445993.33333,.,.,4157,8,33
14,14 - Lanaudière,79309,70,397,871,3,10,530581,.,.,3875,8,53
15,15 - Laurentides,92547,84,514,912,0,2,640046.66667,.,.,5485,11,66
16,16 - Montérégie,173171,169,1005,2536,0,12,1452381.3333,.,.,11543,23,167
17,17 - Nunavik,3429,1,9,11,0,0,14619,.,.,143,0,4
18,18 - Terres-Cries-de-la-Baie-James,2792,2,8,19,0,0,18660.333333,.,.,141,0,0
98,Inconnu,1122,2,4,0,0,0,.,.,.,517,-1,10
99,Hors Québec,7193,1,10,2,0,0,.,.,.,0,0,0
999,Ensemble du Québec,1229725,1028,5983,17065,6,87,8613493.6667,.,.,72804,165,913

