Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2654;8,4;1977;359;267,4
Anjou;795;2,5;1857,7;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;72;0,2;372,6;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2564;8,1;1539,8;261;156,7
Côte-Saint-Luc;603;1,9;1858,4;64;197,2
Dollard-des-Ormeaux;503;1,6;1028,7;83;169,7
Dorval;208;0,7;1095,9;50;263,4
Hampstead;72;0,2;1032,6;< 5;n.p.
Kirkland;147;0,5;729,5;23;*114,1
Lachine;730;2,3;1640,9;100;224,8
LaSalle;1365;4,3;1776,1;183;238,1
L'Île-Bizard–Sainte-Geneviève;234;0,7;1270,8;46;249,8
Mercier–Hochelaga-Maisonneuve;2634;8,3;1936,4;373;274,2
Montréal Est;50;0,2;1298,7;5;n.p.
Montréal-Nord;2808;8,9;3333,6;247;293,2
Montréal-Ouest;34;0,1;*673,3;< 5;n.p.
Mont-Royal;306;1;1509,2;77;379,8
Outremont;377;1,2;1573,8;11;*45,9
Pierrefonds–Roxboro;620;2;894,7;39;56,3
Plateau Mont-Royal;1270;4;1221,2;140;134,6
Pointe-Claire;248;0,8;790,3;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2393;7,6;2241,8;242;226,7
Rosemont–La Petite Patrie;1917;6,1;1373,3;239;171,2
Sainte-Anne-de-Bellevue;20;0,1;*403,4;< 5;n.p.
Saint-Laurent;1294;4,1;1309,3;120;121,4
Saint-Léonard;1343;4,3;1715,1;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1140;3,6;1458,7;182;232,9
Verdun;1075;3,4;1552,8;159;229,7
Ville-Marie;1259;4;1411,9;87;97,6
Villeray–Saint-Michel–Parc-Extension;2589;8,2;1799,8;132;91,8
Westmount;218;0,7;1073,3;37;182,2
Territoire à confirmer;717;;;45;
Total à Montréal;32292;;1563,3;3478;168,4
