No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,174,8,26,0,224,1.3 %
02,02 - Saguenay-Lac-Saint-Jean,0,170,199,11,156,12,548,3.1 %
03,03 - Capitale-Nationale,9,678,489,42,508,41,1767,10.1 %
04,04 - Mauricie et Centre-du-Québec,4,158,914,23,114,5,1218,7.0 %
05,05 - Estrie,4,213,299,29,217,17,779,4.5 %
06,06 - Montréal,220,2896,1567,163,846,82,5774,33.2 %
07,07 - Outaouais,11,105,164,17,75,9,381,2.2 %
08,08 - Abitibi-Témiscamingue,3,42,64,6,20,1,136,0.8 %
09,09 - Côte-Nord,0,0,61,0,1,0,62,0.4 %
10,10 - Nord-du-Québec,0,0,6,0,0,0,6,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,64,0,13,0,93,0.5 %
12,12 - Chaudière-Appalaches,5,198,329,11,207,7,757,4.3 %
13,13 - Laval,6,572,330,63,229,12,1212,7.0 %
14,14 - Lanaudière,3,346,320,26,190,6,891,5.1 %
15,15 - Laurentides,64,289,376,69,133,14,945,5.4 %
16,16 - Montérégie,16,738,1097,80,646,13,2590,14.9 %
17,17 - Nunavik,0,0,11,0,0,0,11,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,18,0,0,1,19,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),348,6434,6484,548,3381,220,17415,
9999,Ensemble du Québec (%),2.0 %,36.9 %,37.2 %,3.1 %,19.4 %,1.3 %,.,100.0 %

