Régions;Nombre de doses de vaccins administrés
01-   Bas-Saint-Laurent;2796
02 - Saguenay – Lac-Saint-Jean;5055
03 - Capitale-Nationale;16351
04 - Mauricie-et-Centre-du-Québec;6978
05 - Estrie;6537
06 - Montréal;36162
07 - Outaouais;4676
08 - Abitibi-Témiscamingue;2467
09 - Côte-Nord;2406
10 - Nord-du-Québec;106
11 - Gaspésie – Îles-de-la-Madeleine;3190
11 - Îles-de-la-Madeleine;391
12 - Chaudière-Appalaches;7337
13 - Laval;6981
14 - Lanaudière;5638
15 - Laurentides;7674
16 - Montérégie;20962
18 - Terres-Cries-de-la-Baie-James;1248
Opitciwan;580
Wemotaci;321
Total;137 856
