RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,Autres variants,TOTAL CONFIRMÉS,Présomptifs reçus,TOTAL PRÉSOMPTIFS moins confirmés
01 - Bas-Saint-Laurent,,,,,0,1,1
02 - Saguenay–Lac-Saint-Jean,,,,,0,2,2
03 - Capitale-Nationale,3,,,,3,171,168
04 - Mauricie et Centre-du-Québec,,,,,0,7,7
05 - Estrie,5,,,,5,34,29
06 - Montréal,193,1,1,2,197,1082,885
07 - Outaouais,,,,,0,57,57
08 - Abitibi-Témiscamingue,,95,,,95,154,59
09 - Côte-Nord,,,,,0,1,1
10 - Nord-du-Québec,,,,,0,0,0
11 - Gaspésie–Îles-de-la-Madeleine,,,,,0,0,0
12 - Chaudière-Appalaches,,,,,0,18,18
13 - Laval,17,,,,17,219,202
14 - Lanaudière,6,1,,,7,82,75
15 - Laurentides,13,1,,,14,175,161
16 - Montérégie,4,,,,4,78,74
Inconnu,,1,,,1,109,108
Hors Québec,,,,,0,0,0
Ensemble du Québec,241,99,1,2,343,2190,1847
