"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;12595
02 - Saguenay - Lac-Saint-Jean;14615
03 - Capitale-Nationale;44059
04 - Mauricie et Centre-du-Québec;30061
05 - Estrie;23270
06 - Montréal;233622
07 - Outaouais;15148
08 - Abitibi-Témiscamingue;12800
09 - Côte-Nord;18129
10 - Nord-du-Québec;8489
11 - Gaspésie - Îles-de-la-Madeleine;10082
12 - Chaudière-Appalaches;23967
13 - Laval;38916
14 - Lanaudière;29975
15 - Laurentides;34298
16 - Montérégie;81638
17 - Nunavik;4916
18 - Terres-Cries-de-la-Baie-James;10439
Inconnue;1644
Total;648663
