,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4534,13,4512,22,61,0,4403,70,196934.5,2302.29,35.57,30.97,2
02,02 - Saguenay-Lac-Saint-Jean,11485,6,11264,221,274,0,11190,21,277505,4138.66,7.57,98.74,5
03,03 - Capitale-Nationale,35533,35,35175,358,1141,0,34152,240,757803,4688.95,31.57,150.57,13
04,04 - Mauricie et Centre-du-Québec,18318,43,18081,237,574,0,17490,254,523331.5,3500.27,48.44,109.68,27
05,05 - Estrie,19338,134,18813,525,382,1,18009,947,494966.5,3906.93,190.63,77.18,50
06,06 - Montréal,153608,236,150663,2945,4854,0,146629,2125,2072060.5,7413.30,102.24,234.26,140
07,07 - Outaouais,14500,13,14056,444,223,0,14198,79,402744,3600.30,19.53,55.37,14
08,08 - Abitibi-Témiscamingue,1400,19,1367,33,12,0,1281,107,147637,948.27,72.46,8.13,3
09,09 - Côte-Nord,819,-1,796,23,5,0,794,20,89700.5,913.04,22.38,5.57,9
10,10 - Nord-du-Québec,137,0,135,2,0,0,137,0,13521.5,1013.20,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2314,1,2293,21,48,0,2256,10,89823,2576.18,11.15,53.44,2
12,12 - Chaudière-Appalaches,23797,90,23526,271,384,0,22960,453,431109.5,5519.94,104.88,89.07,48
13,13 - Laval,38080,56,36145,1935,939,0,36772,369,444658.5,8563.88,82.63,211.17,30
14,14 - Lanaudière,28350,51,27640,710,534,0,27352,464,522367,5427.22,88.44,102.23,36
15,15 - Laurentides,26608,91,26004,604,531,0,25482,595,630238,4221.90,93.92,84.25,59
16,16 - Montérégie,60207,87,58285,1922,1597,0,57858,752,1438226,4186.20,52.09,111.04,53
17,17 - Nunavik,893,8,884,9,1,0,720,172,14336.5,6228.86,1193.37,6.98,13
18,18 - Terres-Cries-de-la-Baie-James,145,0,145,0,5,0,139,1,18507,783.49,5.37,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1274,0,1267,7,1,0,1249,24,.,.,.,.,0
999,Ensemble du Québec,441344,882,431054,10290,11566,1,423075,6703,8565469.5,5152.60,78.02,135.03,504

