No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,9,37,4,13,0,66,0.5 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,92,4,88,8,286,2.4 %
03,03 - Capitale-Nationale,4,533,248,32,329,28,1174,9.7 %
04,04 - Mauricie et Centre-du-Québec,5,154,339,22,110,5,635,5.3 %
05,05 - Estrie,3,134,151,19,123,12,442,3.7 %
06,06 - Montréal,208,2752,1067,139,720,73,4959,41.1 %
07,07 - Outaouais,11,79,64,14,53,3,224,1.9 %
08,08 - Abitibi-Témiscamingue,2,0,21,0,2,0,25,0.2 %
09,09 - Côte-Nord,0,0,4,0,1,0,5,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,20,0,13,0,48,0.4 %
12,12 - Chaudière-Appalaches,5,129,138,7,138,5,422,3.5 %
13,13 - Laval,2,513,199,53,189,6,962,8.0 %
14,14 - Lanaudière,3,259,167,12,127,4,572,4.7 %
15,15 - Laurentides,64,183,145,54,84,14,544,4.5 %
16,16 - Montérégie,16,630,504,62,484,9,1705,14.1 %
17,17 - Nunavik,0,0,5,0,0,0,5,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,4,0,0,1,5,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),326,5484,3206,422,2474,168,12080,
9999,Ensemble du Québec (%),2.7 %,45.4 %,26.5 %,3.5 %,20.5 %,1.4 %,.,100.0 %

