Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;414;1,4;376,9;0;
5-9 ans;369;1,2;343;0;
10-19 ans;1306;4,3;656,6;0;
20-29 ans;4315;14,3;1325,3;< 5;n.p.
30-39 ans;4040;13,4;1230,9;< 5;n.p.
40-49 ans;4096;13,6;1475,5;15;*5,4
50-59 ans;3678;12,2;1433,9;69;26,9
60-69 ans;2519;8,4;1164,4;223;103,1
70-79 ans;2461;8,2;1703;594;411
80 ans et +;6907;22,9;6866,4;2566;2550,9
Manquant;87;;;;
Total;30192;;1461,6;3474;168,2
