Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2510;8,5;1869,7;360;268,2
Anjou;746;2,5;1743,2;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;65;0,2;336,4;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2404;8,1;1443,7;259;155,5
Côte-Saint-Luc;551;1,9;1698,1;64;197,2
Dollard-des-Ormeaux;472;1,6;965,3;83;169,7
Dorval;205;0,7;1080,1;50;263,4
Hampstead;62;0,2;889,1;< 5;n.p.
Kirkland;140;0,5;694,8;23;*114,1
Lachine;707;2,4;1589,2;100;224,8
LaSalle;1314;4,4;1709,8;183;238,1
L'Île-Bizard–Sainte-Geneviève;223;0,8;1211,1;46;249,8
Mercier–Hochelaga-Maisonneuve;2509;8,5;1844,5;373;274,2
Montréal Est;48;0,2;1246,8;5;n.p.
Montréal-Nord;2684;9,1;3186,4;247;293,2
Montréal-Ouest;32;0,1;*633,7;< 5;n.p.
Mont-Royal;296;1;1459,9;78;384,7
Outremont;290;1;1210,7;11;*45,9
Pierrefonds–Roxboro;591;2;852,9;39;56,3
Plateau Mont-Royal;1109;3,8;1066,3;139;133,7
Pointe-Claire;243;0,8;774,4;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2270;7,7;2126,6;242;226,7
Rosemont–La Petite Patrie;1797;6,1;1287,3;239;171,2
Sainte-Anne-de-Bellevue;20;0,1;*403,4;< 5;n.p.
Saint-Laurent;1186;4;1200,1;120;121,4
Saint-Léonard;1219;4,1;1556,7;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1068;3,6;1366,6;182;232,9
Verdun;1042;3,5;1505,1;159;229,7
Ville-Marie;1110;3,8;1244,8;87;97,6
Villeray–Saint-Michel–Parc-Extension;2386;8,1;1658,6;131;91,1
Westmount;200;0,7;984,6;36;*177,2
Territoire à confirmer;660;;;44;
Total à Montréal;30192;;1461,6;3474;168,2
