Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;3917
02 - Saguenay – Lac-Saint-Jean;6026
03 - Capitale-Nationale;19262
04 - Mauricie-et-Centre-du-Québec;9293
05 - Estrie;9042
06 - Montréal;41685
07 - Outaouais;6768
08 - Abitibi-Témiscamingue;3539
09 - Côte-Nord;2778
10 - Nord-du-Québec;453
11 - Gaspésie – Îles-de-la-Madeleine;3949
11 - Îles-de-la-Madeleine;932
12 - Chaudière-Appalaches;9240
13 - Laval;7444
14 - Lanaudière;8081
15 - Laurentides;10071
16 - Montérégie;24867
18 - Terres-Cries-de-la-Baie-James;5600
Opitciwan;580
Wemotaci;351
Manawan;382
Total;174 260
