No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Dﾃｩcﾃｨs (n),Dﾃｩcﾃｨs (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay窶鏑ac-Saint-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,2,112, 7,,31,,,152,"3,0%"
4,04 - Mauricie et Centre-du-Quﾃｩbec,5,124, 26,12,43,,,210,"4,1%"
5,05 - Estrie,,1, 6,,15,3,,25,"0,5%"
6,06 - Montrﾃｩal,168,2209, 250,65,430,30,6,3158,"61,3%"
7,07 - Outaouais,4,17, 3,5,,,,29,"0,6%"
8,08 - Abitibi-Tﾃｩmiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Cﾃｴte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Quﾃｩbec,,,,,,,,0,"0,0%"
11,11 - Gaspﾃｩsie窶禿四es-de-la-Madeleine,,2, 2,,5,,,9,"0,2%"
12,12 - Chaudiﾃｨre-Appalaches,1,,,,7,,,8,"0,2%"
13,13 - Laval,2,432, 50,41,119,5,,649,"12,6%"
14,14 - Lanaudiﾃｨre,3,109, 36,5,49,,,202,"3,9%"
15,15 - Laurentides,32,75, 7,14,34,,,162,"3,1%"
16,16 - Montﾃｩrﾃｩgie,16,215, 79,27,168,5,2,512,"9,9%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Quﾃｩbec,234,3317, 470,169,902,48,8,5148,
9999,,"4,5%","64,4%","9,1%","3,3%","17,5%","0,9%","0,2%",,"100,0%"
