,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,718,21,706,12,15,0,560,143,197074,364.33,72.56,7.61
02,02 - Saguenay–Lac-Saint-Jean,4262,161,4120,142,96,1,3026,1140,277632,1535.13,410.62,34.58
03,03 - Capitale-Nationale,10799,106,10553,246,413,3,9338,1048,755459,1429.46,138.72,54.67
04,04 - Mauricie et Centre-du-Québec,6378,53,6176,202,249,0,5388,741,522341,1221.04,141.86,47.67
05,05 - Estrie,4153,62,3857,296,54,0,3509,590,493163,842.12,119.64,10.95
06,06 - Montréal,48745,294,45990,2755,3595,4,42453,2697,2065657,2359.78,130.56,174.04
07,07 - Outaouais,3335,48,3066,269,71,0,2885,379,401032,831.60,94.51,17.70
08,08 - Abitibi-Témiscamingue,258,0,226,32,4,0,253,1,147616,174.78,0.68,2.71
09,09 - Côte-Nord,199,3,187,12,2,0,180,17,90033,221.03,18.88,2.22
10,10 - Nord-du-Québec,52,0,50,2,0,0,35,17,13558,383.54,125.39,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1316,3,1298,18,37,0,1131,148,89998,1462.25,164.45,41.11
12,12 - Chaudière-Appalaches,4965,40,4730,235,119,0,4388,458,430309,1153.82,106.44,27.65
13,13 - Laval,10837,63,9649,1188,721,0,9558,558,442745,2447.68,126.03,162.85
14,14 - Lanaudière,10493,142,9794,699,303,2,8968,1222,520092,2017.53,234.96,58.26
15,15 - Laurentides,7646,41,7051,595,331,1,6932,383,626968,1219.52,61.09,52.79
16,16 - Montérégie,18922,125,17726,1196,831,2,16640,1451,1432751,1320.68,101.27,58.00
17,17 - Nunavik,29,0,27,2,0,0,29,0,14260,203.37,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,16,0,16,0,1,0,15,0,18385,87.03,0.00,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,80,2,78,2,0,0,76,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,133206,1164,125303,7903,6842,13,115367,10997,8539073,1559.96,128.78,80.13
