RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,173,0,0,2,175,,,,
02 - Saguenay–Lac-Saint-Jean,122,0,2,0,124,,,,
03 - Capitale-Nationale,649,4,12,8,673,,,,
04 - Mauricie et Centre-du-Québec,112,0,1,31,144,,,,
05 - Estrie,99,0,17,8,124,,,,
06 - Montréal,3343,137,255,160,3895,,,,
07 - Outaouais,491,16,35,15,557,,,,
08 - Abitibi-Témiscamingue,0,177,0,0,177,,,,
09 - Côte-Nord,11,0,0,0,11,,,,
10 - Nord-du-Québec,0,1,0,0,1,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,,,,
12 - Chaudière-Appalaches,561,2,13,1,577,,,,
13 - Laval,437,13,19,21,490,,,,
14 - Lanaudière,303,33,13,9,358,,,,
15 - Laurentides,503,30,53,16,602,,,,
16 - Montérégie,368,25,139,65,597,,,,
Inconnu,0,1,0,1,2,,,,
Hors Québec,50,9,3,16,78,,,,
Ensemble du Québec,7230,448,562,353,8593,,,,
