Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;6322
02 - Saguenay – Lac-Saint-Jean;9567
03 - Capitale-Nationale;29135
04 - Mauricie-et-Centre-du-Québec;14949
05 - Estrie;12073
06 - Montréal;79 980
07 - Outaouais;9977
08 - Abitibi-Témiscamingue;8967
09 - Côte-Nord;15 992
10 - Nord-du-Québec;7191
11 - Gaspésie – Îles-de-la-Madeleine;8216
12 - Chaudière-Appalaches;11696
13 - Laval;10718
14 - Lanaudière;12403
15 - Laurentides;13929
16 - Montérégie;36336
17 - Nunavik;3579
18 - Terres-Cries-de-la-Baie-James;9778
Inconnu;1310
Total;302 118
