No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Dﾃｩcﾃｨs (n),Dﾃｩcﾃｨs (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay窶鏑ac-Saint-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,3,110, 7,,31,,,151,"3,0%"
4,04 - Mauricie et Centre-du-Quﾃｩbec,5,122, 26,12,43,,,208,"4,1%"
5,05 - Estrie,,1, 6,,15,3,,25,"0,5%"
6,06 - Montrﾃｩal,169,2178, 245,65,426,29,5,3117,"61,3%"
7,07 - Outaouais,4,17, 3,5,,,,29,"0,6%"
8,08 - Abitibi-Tﾃｩmiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Cﾃｴte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Quﾃｩbec,,,,,,,,0,"0,0%"
11,11 - Gaspﾃｩsie窶禿四es-de-la-Madeleine,,2, 2,,5,,,9,"0,2%"
12,12 - Chaudiﾃｨre-Appalaches,1,,,,7,,,8,"0,2%"
13,13 - Laval,2,430, 50,40,116,5,,643,"12,7%"
14,14 - Lanaudiﾃｨre,3,109, 35,5,49,,,201,"4,0%"
15,15 - Laurentides,31,72, 7,14,32,,,156,"3,1%"
16,16 - Montﾃｩrﾃｩgie,17,208, 79,26,162,8,2,502,"9,9%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Quﾃｩbec,236,3270, 464,167,887,50,7,5081,
9999,,"4,6%","64,4%","9,1%","3,3%","17,5%","1,0%","0,1%",,"100,0%"
