Régions sociosanitaires;2021-06-20;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;0;3 947
02 - Saguenay – Lac-Saint-Jean;0;11 004
03 - Capitale-Nationale;2;32 745
04 - Mauricie-et-Centre-du-Québec;1;15 167
05 - Estrie;1;14 874
06 - Montréal;36;132 392
07 - Outaouais;6;12 436
08 - Abitibi-Témiscamingue;0;1 145
09 - Côte-Nord;0;573
10 - Nord-du-Québec;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;2 056
12 - Chaudière-Appalaches;2;19 246
13 - Laval;13;31 505
14 - Lanaudière;12;23 981
15 - Laurentides;6;20 955
16 - Montérégie;10;51 245
17 - Nunavik;0;47
18 - Terres-Cries-de-la-Baie-James;0;119
Hors Québec;1;461
Région à déterminer;0;4
Total;90;374 011
