,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20270,25,20231,39,167,0,19534,569,197738.33333,10250.92,287.86,84.46,62,818,2
02,02 - Saguenay-Lac-Saint-Jean,29830,23,29469,361,431,3,28798,601,278600,10707.11,215.72,154.70,68,1558,2
03,03 - Capitale-Nationale,87295,72,86934,361,1531,4,84190,1574,761103.66667,11469.53,205.33,201.16,130,4150,11
04,04 - Mauricie et Centre-du-Québec,58165,43,57925,240,995,3,55954,1216,527666.66667,11023.06,229.31,188.57,94,3096,2
05,05 - Estrie,48918,45,48394,524,608,8,47108,1202,502406,9736.75,236.62,121.02,88,2649,9
06,06 - Montréal,305829,169,302469,3360,5450,2,297035,3344,2061667.3333,14834.06,161.43,264.35,301,15796,16
07,07 - Outaouais,39326,10,38878,448,310,0,38544,472,405378.66667,9701.05,115.20,76.47,30,1791,5
08,08 - Abitibi-Témiscamingue,10674,12,10633,41,110,0,10407,157,147876.33333,7218.19,106.12,74.39,11,610,3
09,09 - Côte-Nord,8263,29,8237,26,46,1,7897,320,90082.333333,9172.72,356.87,51.06,24,470,4
10,10 - Nord-du-Québec,1450,3,1225,225,4,0,1411,35,13383.666667,10834.10,263.08,29.89,3,51,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8853,5,8816,37,81,0,8599,173,90783.333333,9751.79,190.33,89.22,19,421,2
12,12 - Chaudière-Appalaches,60616,35,60333,283,634,4,59211,771,434525.66667,13949.92,176.60,145.91,72,2476,4
13,13 - Laval,70843,48,68882,1961,1099,0,69193,551,445993.33333,15884.32,122.41,246.42,49,3175,7
14,14 - Lanaudière,69058,41,68342,716,759,2,67524,775,530581,13015.54,144.32,143.05,87,2736,5
15,15 - Laurentides,78301,59,77695,606,749,5,76339,1213,640046.66667,12233.64,186.98,117.02,128,3582,12
16,16 - Montérégie,146947,133,145034,1913,2177,3,142478,2292,1452381.3333,10117.66,156.26,149.89,210,7851,12
17,17 - Nunavik,2982,2,2976,6,10,0,2949,23,14619,20398.11,154.66,68.40,5,105,0
18,18 - Terres-Cries-de-la-Baie-James,2893,5,2499,394,15,0,2852,26,18660.333333,15503.47,137.05,80.38,8,92,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,384,1
99,Hors Québec,2896,13,2888,8,2,0,2865,29,.,.,.,.,13,0,0
999,Ensemble du Québec,1053409,772,1041860,11549,15178,35,1022888,15343,8613493.6667,12229.75,176.82,176.21,1402,51811,97

