,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20749,21,20710,39,174,0,20318,257,197738.33333,10493.16,130.02,88.00,17,872,2
02,02 - Saguenay-Lac-Saint-Jean,30362,14,30001,361,443,2,29615,304,278600,10898.06,109.12,159.01,20,1618,0
03,03 - Capitale-Nationale,88419,59,88058,361,1552,0,86149,718,761103.66667,11617.21,93.66,203.91,52,4271,6
04,04 - Mauricie et Centre-du-Québec,58826,17,58586,240,1007,1,57437,382,527666.66667,11148.33,72.04,190.84,47,3179,5
05,05 - Estrie,49608,43,49084,524,622,0,48537,449,502406,9874.09,88.39,123.80,69,2754,3
06,06 - Montréal,308787,115,305427,3360,5477,0,301580,1730,2061667.3333,14977.54,83.52,265.66,149,16132,10
07,07 - Outaouais,39737,20,39292,445,316,1,39209,212,405378.66667,9802.44,51.74,77.95,21,1849,1
08,08 - Abitibi-Témiscamingue,10963,12,10922,41,111,0,10737,115,147876.33333,7413.63,77.73,75.06,10,638,8
09,09 - Côte-Nord,8604,14,8578,26,46,0,8382,176,90082.333333,9551.26,196.28,51.06,21,498,3
10,10 - Nord-du-Québec,1496,0,1267,229,4,0,1484,8,13383.666667,11177.80,60.13,29.89,0,52,0
11,11 - Gaspésie-Îles-de-la-Madeleine,9066,10,9029,37,82,0,8874,110,90783.333333,9986.41,121.02,90.32,13,437,2
12,12 - Chaudière-Appalaches,61189,21,60906,283,667,0,60198,324,434525.66667,14081.79,74.22,153.50,27,2546,0
13,13 - Laval,71429,37,69469,1960,1116,2,70021,292,445993.33333,16015.71,64.87,250.23,20,3255,4
14,14 - Lanaudière,69701,10,68985,716,776,1,68638,287,530581,13136.73,53.44,146.25,27,2813,1
15,15 - Laurentides,79308,40,78703,605,763,0,77956,589,640046.66667,12390.97,90.79,119.21,71,3747,4
16,16 - Montérégie,149055,76,147142,1913,2236,1,145598,1221,1452381.3333,10262.80,83.24,153.95,82,8109,4
17,17 - Nunavik,3009,1,3003,6,10,0,2992,7,14619,20582.80,47.07,68.40,1,111,0
18,18 - Terres-Cries-de-la-Baie-James,2944,3,2549,395,16,0,2911,17,18660.333333,15776.78,89.61,85.74,-1,101,1
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,386,0
99,Hors Québec,2943,0,2935,8,2,0,2922,19,.,.,.,.,1,0,0
999,Ensemble du Québec,1066195,513,1054646,11549,15420,8,1043558,7217,8613493.6667,12378.19,83.17,179.02,647,53368,54

