No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,8,4,4,9,0,28,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,90,73,3,84,8,259,2.8 %
3,03 - Capitale-Nationale,3,454,115,14,252,26,864,9.2 %
4,04 - Mauricie et Centre-du-Québec,6,138,161,21,96,5,427,4.6 %
5,05 - Estrie,2,110,37,16,75,10,250,2.7 %
6,06 - Montréal,200,2641,596,119,566,60,4182,44.7 %
7,07 - Outaouais,7,60,31,11,37,1,147,1.6 %
8,08 - Abitibi-Témiscamingue,0,0,4,0,1,0,5,0.1 %
9,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,18,0,13,0,45,0.5 %
12,12 - Chaudière-Appalaches,5,86,58,6,73,4,232,2.5 %
13,13 - Laval,2,484,103,50,164,6,809,8.6 %
14,14 - Lanaudière,3,243,94,8,97,2,447,4.8 %
15,15 - Laurentides,61,149,76,37,73,13,409,4.4 %
16,16 - Montérégie,13,551,252,52,371,13,1252,13.4 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),306,5028,1626,341,1911,149,9361,
9999,Ensemble du Québec (%),3.3 %,53.7 %,17.4 %,3.6 %,20.4 %,1.6 %,           .,100.0 %
