Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;3917
02 - Saguenay – Lac-Saint-Jean;7113
03 - Capitale-Nationale;20307
04 - Mauricie-et-Centre-du-Québec;10940
05 - Estrie;11815
06 - Montréal;45987
07 - Outaouais;7901
08 - Abitibi-Témiscamingue;4530
09 - Côte-Nord;4895
10 - Nord-du-Québec;1113
11 - Gaspésie – Îles-de-la-Madeleine;4940
11 - Îles-de-la-Madeleine;1222
12 - Chaudière-Appalaches;10279
13 - Laval;8778
14 - Lanaudière;8391
15 - Laurentides;11573
16 - Montérégie;27551
17 - Nunavik;70
18 - Terres-Cries-de-la-Baie-James;7567
Opitciwan;590
Wemotaci;361
Manawan;787
Total;200 627
