,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1644,7,1626,18,30,0,1577,37,196934.5,834.80,18.80,15.23
02,02 - Saguenay-Lac-Saint-Jean,9108,53,8912,196,265,0,8619,224,277505,3282.10,80.76,95.49
03,03 - Capitale-Nationale,23139,51,22800,339,1003,3,21744,392,757803,3053.43,51.57,132.36
04,04 - Mauricie et Centre-du-Québec,13019,16,12787,232,508,0,12402,109,523331.5,2487.72,20.79,97.07
05,05 - Estrie,11860,15,11394,466,318,1,11407,135,494966.5,2396.12,27.18,64.25
06,06 - Montréal,112443,297,109559,2884,4589,0,104642,3212,2072060.5,5426.63,154.54,221.47
07,07 - Outaouais,6827,48,6405,422,170,0,6379,278,402744,1695.12,68.73,42.21
08,08 - Abitibi-Témiscamingue,904,3,871,33,7,0,877,20,147637,612.31,13.54,4.74
09,09 - Côte-Nord,359,0,344,15,3,0,352,4,89700.5,400.22,4.48,3.34
10,10 - Nord-du-Québec,88,0,86,2,0,0,87,1,13521.5,650.82,7.42,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1747,1,1728,19,45,0,1688,14,89823,1944.94,15.62,50.10
12,12 - Chaudière-Appalaches,11931,18,11663,268,288,0,11493,150,431109.5,2767.51,34.73,66.80
13,13 - Laval,26272,95,24671,1601,881,0,24692,699,444658.5,5908.35,156.53,198.13
14,14 - Lanaudière,21342,48,20631,711,499,0,20315,528,522367,4085.63,100.64,95.53
15,15 - Laurentides,17366,44,16763,603,480,0,16531,355,630238,2755.47,56.04,76.16
16,16 - Montérégie,43205,78,41364,1841,1505,3,40974,726,1438226,3004.05,50.29,104.64
17,17 - Nunavik,46,0,44,2,0,0,45,1,14336.5,320.86,6.94,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,115,1,18507,643.00,5.37,16.21
98,Inconnu,4,0,4,0,0,0,4,0,.,.,.,.
99,Hors Québec,268,1,263,5,0,0,260,8,.,.,.,.
999,Ensemble du Québec,301691,775,292034,9657,10594,7,284203,6894,8565469.5,3522.18,80.24,123.68

