"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;16648
02 - Saguenay - Lac-Saint-Jean;23514
03 - Capitale-Nationale;67824
04 - Mauricie et Centre-du-Québec;46910
05 - Estrie;36613
06 - Montréal;310343
07 - Outaouais;26024
08 - Abitibi-Témiscamingue;14786
09 - Côte-Nord;21870
10 - Nord-du-Québec;8716
11 - Gaspésie - Îles-de-la-Madeleine;15404
12 - Chaudière-Appalaches;34348
13 - Laval;50327
14 - Lanaudière;46091
15 - Laurentides;49542
16 - Montérégie;127981
17 - Nunavik;5158
18 - Terres-Cries-de-la-Baie-James;10470
Inconnue;3084
Total;915653
