RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,Autres variants,TOTAL CONFIRMÉS,Présomptifs reçus,TOTAL PRÉSOMPTIFS moins confirmés
01 - Bas-Saint-Laurent,0,0,0,0,0,4,4
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,2,2
03 - Capitale-Nationale,12,0,0,0,12,241,229
04 - Mauricie et Centre-du-Québec,0,0,0,0,0,23,23
05 - Estrie,9,0,0,0,9,50,41
06 - Montréal,324,1,1,2,328,1726,1398
07 - Outaouais,0,0,0,0,0,140,140
08 - Abitibi-Témiscamingue,0,100,0,0,100,160,60
09 - Côte-Nord,0,0,0,0,0,0,0
10 - Nord-du-Québec,0,0,0,0,0,0,0
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,0,0
12 - Chaudière-Appalaches,0,0,0,0,0,76,76
13 - Laval,29,0,0,0,29,393,364
14 - Lanaudière,8,2,0,0,10,152,142
15 - Laurentides,32,1,0,0,33,239,206
16 - Montérégie,18,2,0,0,20,146,126
Inconnu,0,1,0,0,1,137,136
Hors Québec,0,0,0,0,0,2,2
Ensemble du Québec,432,107,1,2,542,3491,2949
