,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,3924,-1,3898,26,49,0,3825,50,196934.5,1992.54,25.41,24.88
02,02 - Saguenay-Lac-Saint-Jean,10969,9,10748,221,269,0,10616,84,277505,3952.72,30.28,96.94
03,03 - Capitale-Nationale,32647,10,32295,352,1109,0,31413,125,757803,4308.11,16.44,146.34
04,04 - Mauricie et Centre-du-Québec,15120,5,14881,239,518,-1,14537,65,523331.5,2889.18,12.40,98.98
05,05 - Estrie,14791,17,14273,518,348,0,14274,169,494966.5,2988.28,34.02,70.31
06,06 - Montréal,131619,57,128696,2923,4748,0,125783,1088,2072060.5,6352.08,52.35,229.14
07,07 - Outaouais,12267,12,11820,447,214,0,11936,117,402744,3045.86,28.93,53.14
08,08 - Abitibi-Témiscamingue,1121,4,1088,33,9,0,1103,9,147637,759.29,6.10,6.10
09,09 - Côte-Nord,572,0,553,19,3,0,566,3,89700.5,637.68,3.36,3.34
10,10 - Nord-du-Québec,109,0,107,2,0,0,108,1,13521.5,806.12,7.42,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,2021,0,2001,20,45,0,1963,13,89823,2249.98,14.50,50.10
12,12 - Chaudière-Appalaches,19072,19,18792,280,353,0,18460,259,431109.5,4423.93,59.97,81.88
13,13 - Laval,31314,13,29506,1808,911,0,30240,163,444658.5,7042.26,36.50,204.88
14,14 - Lanaudière,23832,4,23121,711,516,0,23208,108,522367,4562.31,20.59,98.78
15,15 - Laurentides,20834,8,20230,604,505,0,20220,109,630238,3305.74,17.21,80.13
16,16 - Montérégie,50940,19,48988,1952,1549,0,49014,377,1438226,3541.86,26.11,107.70
17,17 - Nunavik,47,0,45,2,0,0,47,0,14336.5,327.83,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,3,0,3,0,0,0,3,0,.,.,.,.
99,Hors Québec,446,2,441,5,0,0,435,11,.,.,.,.
999,Ensemble du Québec,371767,178,361605,10162,11149,-1,357867,2751,8565469.5,4340.30,32.02,130.16

