RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,165,0,0,0,165,1219,619.43,"30,0","66,7"
02 - Saguenay–Lac-Saint-Jean,60,0,2,0,62,966,348.26,"98,4","98,3"
03 - Capitale-Nationale,622,3,8,0,633,7928,"1,042.96","97,4","86,7"
04 - Mauricie et Centre-du-Québec,94,0,0,1,95,1337,255.00,"72,5","89,7"
05 - Estrie,92,0,15,1,108,2334,469.84,"98,4","94,3"
06 - Montréal,3219,107,181,16,3523,13781,663.04,"90,6","87,2"
07 - Outaouais,448,16,33,0,497,3757,928.90,"100,0","90,3"
08 - Abitibi-Témiscamingue,0,177,0,0,177,245,165.92,"0,0",.
09 - Côte-Nord,6,0,0,0,6,149,166.73,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,7,0,0,0,7,173,192.98,"81,8","100,0"
12 - Chaudière-Appalaches,439,2,11,0,452,3352,776.09,"91,1","83,0"
13 - Laval,412,13,18,1,444,3104,695.07,"95,6","93,8"
14 - Lanaudière,271,28,11,0,310,1655,315.45,"87,9","92,2"
15 - Laurentides,427,14,47,0,488,2464,388.95,"88,7","78,7"
16 - Montérégie,312,15,116,7,450,4233,293.20,"90,5","87,8"
Inconnu,0,1,0,0,1,718,,"50,0","100,0"
Hors Québec,47,9,2,2,60,100,,"25,0","100,0"
Ensemble du Québec,6621,386,444,28,7479,47531,553.21,"91,1","88,2"
